0000100001[]
0000100002[]
0000100003[]
0000100004[317 95 22 43 0 0 0; ]
0000100005[317 96 22 43 0 0 0; ]
0000100006[318 98 22 43 0 0 0; ]
0000100007[318 99 22 43 0 0 0; ]
0000100008[319 100 22 43 0 0 0; ]
0000100009[319 100 22 42 0 0 0; ]
0000100010[320 101 22 42 0 0 0; ]
0000100011[321 101 22 42 0 0 0; 297 104 21 36 1 0 0; ]
0000100012[321 101 22 43 0 0 0; 297 104 21 37 1 0 0; ]
0000100013[322 101 22 43 0 0 0; 297 104 21 37 1 0 0; ]
0000100014[322 101 22 44 0 0 0; 297 104 21 37 1 0 0; ]
0000100015[323 101 23 44 0 0 0; 297 104 21 37 1 0 0; ]
0000100016[323 100 23 45 0 0 0; 297 104 22 37 1 0 0; ]
0000100017[324 99 24 47 0 0 0; 298 104 22 37 1 0 0; ]
0000100018[324 99 24 48 0 0 0; 298 104 22 38 1 0 0; ]
0000100019[325 98 25 49 0 0 0; 298 104 22 38 1 0 0; ]
0000100020[326 99 24 48 0 0 0; 298 104 22 38 1 0 0; ]
0000100021[327 101 23 47 0 0 0; 298 104 23 38 1 0 0; ]
0000100022[328 102 23 46 0 0 0; 298 104 23 38 1 0 0; ]
0000100023[328 102 23 45 0 0 0; 298 104 23 38 1 0 0; ]
0000100024[329 103 23 45 0 0 0; 298 104 23 39 1 0 0; ]
0000100025[330 103 23 44 0 0 0; 299 104 23 39 1 0 0; ]
0000100026[330 103 23 44 0 0 0; 299 104 24 39 1 0 0; ]
0000100027[330 103 23 44 0 0 0; 299 103 23 38 1 0 0; ]
0000100028[331 103 23 44 0 0 0; 300 103 23 38 1 0 0; ]
0000100029[331 101 23 44 0 0 0; 300 102 23 37 1 0 0; ]
0000100030[331 100 24 44 0 0 0; 301 102 22 37 1 0 0; ]
0000100031[331 99 25 45 0 0 0; 301 102 23 38 1 0 0; ]
0000100032[331 99 25 45 0 0 0; 301 103 23 39 1 0 0; ]
0000100033[331 100 26 46 0 0 0; 302 103 24 39 1 0 0; ]
0000100034[331 101 26 47 0 0 0; 302 104 24 39 1 0 0; ]
0000100035[332 104 26 46 0 0 0; 302 104 24 39 1 0 0; ]
0000100036[332 107 25 46 0 0 0; 302 105 24 39 1 0 0; ]
0000100037[332 108 25 46 0 0 0; 302 106 24 39 1 0 0; ]
0000100038[332 109 25 46 0 0 0; 302 109 24 38 1 0 0; ]
0000100039[332 109 25 46 0 0 0; 302 112 24 36 1 0 0; ]
0000100040[332 107 25 47 0 0 0; 302 112 24 37 1 0 0; ]
0000100041[332 104 25 48 0 0 0; 302 109 25 38 1 0 0; ]
0000100042[332 103 25 49 0 0 0; 303 108 24 38 1 0 0; ]
0000100043[332 103 26 49 0 0 0; 304 108 24 38 1 0 0; ]
0000100044[333 103 26 49 0 0 0; 304 107 24 38 1 0 0; ]
0000100045[333 103 26 49 0 0 0; 305 108 24 39 1 0 0; ]
0000100046[333 103 26 49 0 0 0; 305 108 24 39 1 0 0; ]
0000100047[333 103 26 49 0 0 0; 305 109 24 40 1 0 0; ]
0000100048[334 104 26 48 0 0 0; 305 109 24 40 1 0 0; ]
0000100049[334 105 26 48 0 0 0; 305 110 24 40 1 0 0; ]
0000100050[335 105 26 48 0 0 0; 306 110 24 40 1 0 0; ]
0000100051[335 106 26 48 0 0 0; 306 111 23 40 1 0 0; ]
0000100052[336 106 26 48 0 0 0; 307 111 23 40 1 0 0; ]
0000100053[336 106 26 48 0 0 0; 307 112 23 40 1 0 0; ]
0000100054[336 107 26 48 0 0 0; 307 112 23 40 1 0 0; ]
0000100055[337 107 26 48 0 0 0; 307 113 23 39 1 0 0; ]
0000100056[337 108 26 49 0 0 0; 307 113 24 38 1 0 0; ]
0000100057[338 108 26 49 0 0 0; 308 114 24 38 1 0 0; ]
0000100058[338 108 26 49 0 0 0; 308 115 23 38 1 0 0; ]
0000100059[339 109 26 49 0 0 0; 309 115 23 38 1 0 0; ]
0000100060[339 109 26 49 0 0 0; 309 115 23 37 1 0 0; ]
0000100061[340 110 26 49 0 0 0; 310 115 23 37 1 0 0; ]
0000100062[340 110 26 49 0 0 0; 310 115 23 37 1 0 0; ]
0000100063[341 111 26 49 0 0 0; 311 115 23 37 1 0 0; ]
0000100064[341 111 26 49 0 0 0; 311 115 23 37 1 0 0; ]
0000100065[341 110 26 50 0 0 0; 312 115 23 38 1 0 0; ]
0000100066[342 109 26 50 0 0 0; 312 114 23 38 1 0 0; ]
0000100067[342 108 26 51 0 0 0; 313 114 23 38 1 0 0; ]
0000100068[342 107 26 51 0 0 0; 313 113 23 38 1 0 0; ]
0000100069[343 106 26 51 0 0 0; 314 112 23 39 1 0 0; ]
0000100070[343 104 27 51 0 0 0; 315 110 23 39 1 0 0; ]
0000100071[344 102 27 51 0 0 0; 315 109 23 40 1 0 0; ]
0000100072[344 100 28 51 0 0 0; 316 105 23 41 1 0 0; ]
0000100073[345 98 28 52 0 0 0; 316 102 23 42 1 0 0; ]
0000100074[345 97 29 53 0 0 0; 317 100 23 42 1 0 0; ]
0000100075[345 96 29 55 0 0 0; 317 101 22 43 1 0 0; ]
0000100076[346 95 29 57 0 0 0; 318 102 22 43 1 0 0; ]
0000100077[346 96 29 56 0 0 0; 318 103 22 44 1 0 0; ]
0000100078[347 100 29 55 0 0 0; 319 105 22 44 1 0 0; ]
0000100079[349 105 28 53 0 0 0; 319 107 22 44 1 0 0; ]
0000100080[349 106 28 53 0 0 0; 320 110 22 42 1 0 0; ]
0000100081[349 106 28 53 0 0 0; 320 112 21 40 1 0 0; ]
0000100082[349 106 28 54 0 0 0; 321 111 21 41 1 0 0; ]
0000100083[350 105 29 55 0 0 0; 321 108 21 41 1 0 0; ]
0000100084[351 103 29 58 0 0 0; 322 107 22 41 1 0 0; ]
0000100085[351 100 30 62 0 0 0; 322 106 22 41 1 0 0; ]
0000100086[352 97 30 64 0 0 0; 323 105 24 41 1 0 0; ]
0000100087[353 95 30 65 0 0 0; 323 103 24 42 1 0 0; ]
0000100088[355 93 30 64 0 0 0; 324 103 24 42 1 0 0; ]
0000100089[357 92 30 62 0 0 0; 325 102 24 42 1 0 0; ]
0000100090[358 92 30 60 0 0 0; 325 102 24 42 1 0 0; ]
0000100091[359 93 30 58 0 0 0; 326 104 23 42 1 0 0; ]
0000100092[360 96 30 57 0 0 0; 327 106 22 40 1 0 0; ]
0000100093[361 100 30 56 0 0 0; 327 108 22 39 1 0 0; ]
0000100094[361 105 30 55 0 0 0; 328 109 22 39 1 0 0; ]
0000100095[362 105 31 57 0 0 0; 329 110 22 40 1 0 0; ]
0000100096[364 104 32 59 0 0 0; 329 111 22 41 1 0 0; ]
0000100097[365 103 32 61 0 0 0; 330 111 22 41 1 0 0; ]
0000100098[366 102 33 62 0 0 0; 330 110 23 40 1 0 0; ]
0000100099[367 99 33 64 0 0 0; 330 108 24 39 1 0 0; ]
0000100100[368 97 33 65 0 0 0; 331 107 24 40 1 0 0; ]
0000100101[369 96 33 65 0 0 0; 332 106 24 42 1 0 0; ]
0000100102[371 97 33 65 0 0 0; 333 106 24 44 1 0 0; ]
0000100103[372 98 33 64 0 0 0; 333 106 24 46 1 0 0; ]
0000100104[374 99 33 63 0 0 0; 334 106 24 47 1 0 0; ]
0000100105[376 99 33 63 0 0 0; 334 106 25 48 1 0 0; ]
0000100106[378 99 33 63 0 0 0; 335 106 25 49 1 0 0; ]
0000100107[380 99 33 64 0 0 0; 336 106 25 49 1 0 0; ]
0000100108[382 98 33 65 0 0 0; 337 106 25 50 1 0 0; ]
0000100109[384 97 33 66 0 0 0; 338 106 25 49 1 0 0; ]
0000100110[387 98 33 66 0 0 0; 339 106 25 49 1 0 0; ]
0000100111[389 98 33 66 0 0 0; 340 105 24 48 1 0 0; ]
0000100112[391 98 33 66 0 0 0; 341 104 24 47 1 0 0; ]
0000100113[394 98 33 66 0 0 0; 343 103 24 47 1 0 0; ]
0000100114[396 93 35 69 0 0 0; 344 100 24 47 1 0 0; ]
0000100115[399 86 36 72 0 0 0; 346 97 24 47 1 0 0; ]
0000100116[401 84 35 71 0 0 0; 348 93 24 47 1 0 0; ]
0000100117[403 82 34 69 0 0 0; 348 89 24 49 1 0 0; ]
0000100118[406 79 34 69 0 0 0; 349 86 24 51 1 0 0; ]
0000100119[408 77 35 69 0 0 0; 350 85 24 52 1 0 0; ]
0000100120[410 78 36 69 0 0 0; 350 85 25 53 1 0 0; ]
0000100121[413 80 36 69 0 0 0; 351 87 25 52 1 0 0; ]
0000100122[415 82 36 70 0 0 0; 352 93 25 51 1 0 0; ]
0000100123[418 85 36 74 0 0 0; 352 97 25 50 1 0 0; ]
0000100124[420 89 37 78 0 0 0; 353 100 25 49 1 0 0; ]
0000100125[422 90 37 78 0 0 0; 354 103 25 48 1 0 0; ]
0000100126[424 91 38 78 0 0 0; 355 104 25 46 1 0 0; ]
0000100127[427 91 39 77 0 0 0; 356 105 25 46 1 0 0; ]
0000100128[429 91 39 77 0 0 0; 357 104 25 47 1 0 0; ]
0000100129[431 90 40 78 0 0 0; 358 102 25 48 1 0 0; ]
0000100130[434 88 41 81 0 0 0; 360 101 25 49 1 0 0; ]
0000100131[436 87 42 83 0 0 0; 362 100 24 50 1 0 0; ]
0000100132[439 86 43 84 0 0 0; 363 103 24 49 1 0 0; ]
0000100133[442 87 43 85 0 0 0; 364 105 24 48 1 0 0; ]
0000100134[444 88 43 85 0 0 0; 365 107 24 47 1 0 0; ]
0000100135[447 90 43 85 0 0 0; 366 109 24 47 1 0 0; ]
0000100136[450 92 43 85 0 0 0; 367 110 24 47 1 0 0; ]
0000100137[454 93 43 85 0 0 0; 367 110 24 47 1 0 0; ]
0000100138[457 94 43 85 0 0 0; 368 110 24 47 1 0 0; ]
0000100139[460 94 44 85 0 0 0; 369 110 24 47 1 0 0; ]
0000100140[463 93 44 86 0 0 0; 370 107 25 48 1 0 0; ]
0000100141[467 91 44 87 0 0 0; 371 105 26 49 1 0 0; ]
0000100142[372 103 27 51 1 0 0; ]
0000100143[373 102 27 52 1 0 0; ]
0000100144[374 102 28 52 1 0 0; ]
0000100145[375 102 28 53 1 0 0; ]
0000100146[376 102 28 54 1 0 0; ]
0000100147[377 101 28 55 1 0 0; ]
0000100148[378 100 28 55 1 0 0; ]
0000100149[379 99 28 56 1 0 0; ]
0000100150[380 98 28 57 1 0 0; ]
0000100151[380 98 28 57 1 0 0; ]
0000100152[381 97 28 58 1 0 0; ]
0000100153[381 96 28 58 1 0 0; ]
0000100154[382 95 28 58 1 0 0; ]
0000100155[382 95 28 58 1 0 0; ]
0000100156[382 94 28 58 1 0 0; ]
0000100157[382 93 28 58 1 0 0; ]
0000100158[382 93 29 58 1 0 0; ]
0000100159[383 92 29 57 1 0 0; ]
0000100160[383 92 29 57 1 0 0; ]
0000100161[383 91 29 57 1 0 0; ]
0000100162[384 90 29 57 1 0 0; ]
0000100163[384 89 28 58 1 0 0; ]
0000100164[385 89 28 58 1 0 0; ]
0000100165[385 89 28 59 1 0 0; ]
0000100166[385 89 28 60 1 0 0; ]
0000100167[384 90 29 61 1 0 0; ]
0000100168[384 91 29 61 1 0 0; ]
0000100169[383 92 29 62 1 0 0; ]
0000100170[384 92 29 62 1 0 0; ]
0000100171[384 92 29 62 1 0 0; ]
0000100172[385 92 29 63 1 0 0; ]
0000100173[386 91 29 63 1 0 0; ]
0000100174[387 91 29 63 1 0 0; ]
0000100175[387 90 30 63 1 0 0; ]
0000100176[388 89 31 63 1 0 0; ]
0000100177[389 89 31 63 1 0 0; ]
0000100178[389 89 30 63 1 0 0; ]
0000100179[390 89 30 63 1 0 0; ]
0000100180[390 90 30 63 1 0 0; ]
0000100181[391 92 30 63 1 0 0; ]
0000100182[392 94 31 63 1 0 0; ]
0000100183[392 95 31 63 1 0 0; ]
0000100184[393 95 31 63 1 0 0; ]
0000100185[394 94 32 64 1 0 0; ]
0000100186[394 93 32 65 1 0 0; ]
0000100187[395 93 33 66 1 0 0; ]
0000100188[395 93 34 67 1 0 0; ]
0000100189[396 93 34 68 1 0 0; ]
0000100190[397 94 35 69 1 0 0; ]
0000100191[397 95 35 69 1 0 0; ]
0000100192[399 95 35 69 1 0 0; ]
0000100193[400 95 34 69 1 0 0; ]
0000100194[402 94 34 69 1 0 0; ]
0000100195[403 94 34 69 1 0 0; ]
0000100196[405 92 35 69 1 0 0; ]
0000100197[406 88 37 68 1 0 0; ]
0000100198[408 86 38 68 1 0 0; ]
0000100199[409 85 38 68 1 0 0; ]
0000100200[411 85 38 69 1 0 0; ]
0000100201[412 85 37 71 1 0 0; ]
0000100202[414 85 37 72 1 0 0; ]
0000100203[415 85 37 73 1 0 0; 180 103 18 30 2 0 0; ]
0000100204[417 85 37 74 1 0 0; 180 103 18 31 2 0 0; ]
