树个数为1： accu=0.6675007 recall=0.59537244 tp=2110 tn=2959 fp=1091 fn=1434
树个数为2： accu=0.5603108 recall=0.8964447 tp=3177 tn=1078 fp=2972 fn=367
树个数为3： accu=0.52659994 recall=0.95598197 tp=3388 tn=611 fp=3439 fn=156
树个数为4： accu=0.5984988 recall=0.87556434 tp=3103 tn=1442 fp=2608 fn=441
树个数为5： accu=0.60139585 recall=0.897009 tp=3179 tn=1388 fp=2662 fn=365
树个数为6： accu=0.62193835 recall=0.8981377 tp=3183 tn=1540 fp=2510 fn=361
树个数为7： accu=0.640769 recall=0.89362305 tp=3167 tn=1699 fp=2351 fn=377
树个数为8： accu=0.64682645 recall=0.89672685 tp=3178 tn=1734 fp=2316 fn=366
树个数为9： accu=0.64208585 recall=0.90490973 tp=3207 tn=1669 fp=2381 fn=337
树个数为10： accu=0.64748484 recall=0.9170429 tp=3250 tn=1667 fp=2383 fn=294
树个数为11： accu=0.65393734 recall=0.91224605 tp=3233 tn=1733 fp=2317 fn=311
树个数为12： accu=0.6710561 recall=0.90124154 tp=3194 tn=1902 fp=2148 fn=350
树个数为13： accu=0.6926521 recall=0.86540633 tp=3067 tn=2193 fp=1857 fn=477
树个数为14： accu=0.7009481 recall=0.86540633 tp=3067 tn=2256 fp=1794 fn=477
树个数为15： accu=0.6805373 recall=0.87810385 tp=3112 tn=2056 fp=1994 fn=432
树个数为16： accu=0.68843824 recall=0.88092554 tp=3122 tn=2106 fp=1944 fn=422
树个数为17： accu=0.6944957 recall=0.8769752 tp=3108 tn=2166 fp=1884 fn=436
树个数为18： accu=0.6994996 recall=0.88487583 tp=3136 tn=2176 fp=1874 fn=408
树个数为19： accu=0.6980511 recall=0.87895036 tp=3115 tn=2186 fp=1864 fn=429
树个数为20： accu=0.70740056 recall=0.8366253 tp=2965 tn=2407 fp=1643 fn=579
树个数为21： accu=0.72228074 recall=0.82308125 tp=2917 tn=2568 fp=1482 fn=627
树个数为22： accu=0.72017384 recall=0.8318284 tp=2948 tn=2521 fp=1529 fn=596
树个数为23： accu=0.716355 recall=0.8490406 tp=3009 tn=2431 fp=1619 fn=535
树个数为24： accu=0.7131946 recall=0.8645598 tp=3064 tn=2352 fp=1698 fn=480
树个数为25： accu=0.724256 recall=0.8436795 tp=2990 tn=2510 fp=1540 fn=554
树个数为26： accu=0.73558074 recall=0.81461626 tp=2887 tn=2699 fp=1351 fn=657
树个数为27： accu=0.7358441 recall=0.8242099 tp=2921 tn=2667 fp=1383 fn=623
树个数为28： accu=0.74598366 recall=0.8115124 tp=2876 tn=2789 fp=1261 fn=668
树个数为29： accu=0.7326837 recall=0.81941307 tp=2904 tn=2660 fp=1390 fn=640
树个数为30： accu=0.7363708 recall=0.8151806 tp=2889 tn=2703 fp=1347 fn=655
树个数为31： accu=0.7401896 recall=0.8058691 tp=2856 tn=2765 fp=1285 fn=688
树个数为32： accu=0.7401896 recall=0.8005079 tp=2837 tn=2784 fp=1266 fn=707
树个数为33： accu=0.7434817 recall=0.80022573 tp=2836 tn=2810 fp=1240 fn=708
树个数为34： accu=0.7519094 recall=0.7545147 tp=2674 tn=3036 fp=1014 fn=870
树个数为35： accu=0.7508559 recall=0.70259595 tp=2490 tn=3212 fp=838 fn=1054
树个数为36： accu=0.74216485 recall=0.65773135 tp=2331 tn=3305 fp=745 fn=1213
树个数为37： accu=0.7437451 recall=0.6591422 tp=2336 tn=3312 fp=738 fn=1208
树个数为38： accu=0.74242824 recall=0.63741535 tp=2259 tn=3379 fp=671 fn=1285
树个数为39： accu=0.7480906 recall=0.66563207 tp=2359 tn=3322 fp=728 fn=1185
树个数为40： accu=0.75217277 recall=0.66986454 tp=2374 tn=3338 fp=712 fn=1170
树个数为41： accu=0.7474322 recall=0.64954853 tp=2302 tn=3374 fp=676 fn=1242
树个数为42： accu=0.75467473 recall=0.6645034 tp=2355 tn=3376 fp=674 fn=1189
树个数为43： accu=0.7562549 recall=0.6673251 tp=2365 tn=3378 fp=672 fn=1179
树个数为44： accu=0.7571767 recall=0.6755079 tp=2394 tn=3356 fp=694 fn=1150
树个数为45： accu=0.76297075 recall=0.6848194 tp=2427 tn=3367 fp=683 fn=1117
树个数为46： accu=0.76441926 recall=0.6811513 tp=2414 tn=3391 fp=659 fn=1130
树个数为47： accu=0.7631025 recall=0.70739275 tp=2507 tn=3288 fp=762 fn=1037
树个数为48： accu=0.764551 recall=0.71614 tp=2538 tn=3268 fp=782 fn=1006
树个数为49： accu=0.76402426 recall=0.72460496 tp=2568 tn=3234 fp=816 fn=976
树个数为50： accu=0.76534104 recall=0.7217833 tp=2558 tn=3254 fp=796 fn=986
树个数为51： accu=0.76771134 recall=0.6966704 tp=2469 tn=3361 fp=689 fn=1075
树个数为52： accu=0.76389253 recall=0.6735327 tp=2387 tn=3414 fp=636 fn=1157
树个数为53： accu=0.7675797 recall=0.7277088 tp=2579 tn=3250 fp=800 fn=965
树个数为54： accu=0.7662628 recall=0.7130361 tp=2527 tn=3292 fp=758 fn=1017
树个数为55： accu=0.76257575 recall=0.741535 tp=2628 tn=3163 fp=887 fn=916
树个数为56： accu=0.76297075 recall=0.738149 tp=2616 tn=3178 fp=872 fn=928
树个数为57： accu=0.76152223 recall=0.7564898 tp=2681 tn=3102 fp=948 fn=863
树个数为58： accu=0.7636292 recall=0.7564898 tp=2681 tn=3118 fp=932 fn=863
树个数为59： accu=0.7652094 recall=0.75987583 tp=2693 tn=3118 fp=932 fn=851
树个数为60： accu=0.7636292 recall=0.7666479 tp=2717 tn=3082 fp=968 fn=827
树个数为61： accu=0.7603371 recall=0.75874716 tp=2689 tn=3085 fp=965 fn=855
树个数为62： accu=0.76204896 recall=0.751693 tp=2664 tn=3123 fp=927 fn=880
树个数为63： accu=0.76468265 recall=0.75141084 tp=2663 tn=3144 fp=906 fn=881
树个数为64： accu=0.7633658 recall=0.7508465 tp=2661 tn=3136 fp=914 fn=883
树个数为65： accu=0.75915194 recall=0.78639954 tp=2787 tn=2978 fp=1072 fn=757
树个数为66： accu=0.7633658 recall=0.7525395 tp=2667 tn=3130 fp=920 fn=877
树个数为67： accu=0.76297075 recall=0.7474605 tp=2649 tn=3145 fp=905 fn=895
树个数为68： accu=0.76534104 recall=0.75141084 tp=2663 tn=3149 fp=901 fn=881
树个数为69： accu=0.7665262 recall=0.748307 tp=2652 tn=3169 fp=881 fn=892
树个数为70： accu=0.76915985 recall=0.7387133 tp=2618 tn=3223 fp=827 fn=926
树个数为71： accu=0.7596787 recall=0.72206545 tp=2559 tn=3210 fp=840 fn=985
树个数为72： accu=0.76112723 recall=0.738149 tp=2616 tn=3164 fp=886 fn=928
树个数为73： accu=0.76231235 recall=0.72827315 tp=2581 tn=3208 fp=842 fn=963
树个数为74： accu=0.76165396 recall=0.73109484 tp=2591 tn=3193 fp=857 fn=953
树个数为75： accu=0.7634975 recall=0.72037244 tp=2553 tn=3245 fp=805 fn=991
树个数为76： accu=0.7634975 recall=0.7124718 tp=2525 tn=3273 fp=777 fn=1019
树个数为77： accu=0.7642876 recall=0.7169865 tp=2541 tn=3263 fp=787 fn=1003
树个数为78： accu=0.7617856 recall=0.6969526 tp=2470 tn=3315 fp=735 fn=1074
树个数为79： accu=0.7596787 recall=0.68876976 tp=2441 tn=3328 fp=722 fn=1103
树个数为80： accu=0.7555965 recall=0.6681716 tp=2368 tn=3370 fp=680 fn=1176
树个数为81： accu=0.7558599 recall=0.65378106 tp=2317 tn=3423 fp=627 fn=1227
