树个数为1： accu=0.81381184 recall=0.5688249 tp=7740 tn=35685 fp=4068 fn=5867
树个数为2： accu=0.8178973 recall=0.5389138 tp=7333 tn=36310 fp=3443 fn=6274
树个数为3： accu=0.8306784 recall=0.6387154 tp=8691 tn=35634 fp=4119 fn=4916
树个数为4： accu=0.83959895 recall=0.6282061 tp=8548 tn=36253 fp=3500 fn=5059
树个数为5： accu=0.8444153 recall=0.63357097 tp=8621 tn=36437 fp=3316 fn=4986
树个数为6： accu=0.847039 recall=0.6437128 tp=8759 tn=36439 fp=3314 fn=4848
树个数为7： accu=0.848913 recall=0.6526788 tp=8881 tn=36417 fp=3336 fn=4726
树个数为8： accu=0.85058093 recall=0.6711252 tp=9132 tn=36255 fp=3498 fn=4475
树个数为9： accu=0.8526237 recall=0.6859705 tp=9334 tn=36162 fp=3591 fn=4273
树个数为10： accu=0.8548538 recall=0.7001543 tp=9527 tn=36088 fp=3665 fn=4080
树个数为11： accu=0.8549663 recall=0.7126479 tp=9697 tn=35924 fp=3829 fn=3910
树个数为12： accu=0.8568778 recall=0.72308373 tp=9839 tn=35884 fp=3869 fn=3768
树个数为13： accu=0.8591829 recall=0.7259499 tp=9878 tn=35968 fp=3785 fn=3729
树个数为14： accu=0.86145055 recall=0.7302124 tp=9936 tn=36031 fp=3722 fn=3671
树个数为15： accu=0.8630247 recall=0.73315203 tp=9976 tn=36075 fp=3678 fn=3631
树个数为16： accu=0.8628373 recall=0.7449842 tp=10137 tn=35904 fp=3849 fn=3470
树个数为17： accu=0.8643928 recall=0.7477034 tp=10174 tn=35950 fp=3803 fn=3433
树个数为18： accu=0.865536 recall=0.7539502 tp=10259 tn=35926 fp=3827 fn=3348
树个数为19： accu=0.8670352 recall=0.75872713 tp=10324 tn=35941 fp=3812 fn=3283
树个数为20： accu=0.8663418 recall=0.7729845 tp=10518 tn=35710 fp=4043 fn=3089
树个数为21： accu=0.8673913 recall=0.7798927 tp=10612 tn=35672 fp=4081 fn=2995
树个数为22： accu=0.86847824 recall=0.7840082 tp=10668 tn=35674 fp=4079 fn=2939
树个数为23： accu=0.8692654 recall=0.76835454 tp=10455 tn=35929 fp=3824 fn=3152
树个数为24： accu=0.8707459 recall=0.773205 tp=10521 tn=35942 fp=3811 fn=3086
树个数为25： accu=0.86984634 recall=0.77864337 tp=10595 tn=35820 fp=3933 fn=3012
树个数为26： accu=0.8707271 recall=0.7842287 tp=10671 tn=35791 fp=3962 fn=2936
树个数为27： accu=0.8713831 recall=0.7881238 tp=10724 tn=35773 fp=3980 fn=2883
树个数为28： accu=0.87198275 recall=0.79532593 tp=10822 tn=35707 fp=4046 fn=2785
树个数为29： accu=0.8726387 recall=0.7920923 tp=10778 tn=35786 fp=3967 fn=2829
树个数为30： accu=0.8725637 recall=0.79510546 tp=10819 tn=35741 fp=4012 fn=2788
树个数为31： accu=0.87235755 recall=0.8017197 tp=10909 tn=35640 fp=4113 fn=2698
树个数为32： accu=0.87132686 recall=0.7949585 tp=10817 tn=35677 fp=4076 fn=2790
树个数为33： accu=0.8726012 recall=0.7977511 tp=10855 tn=35707 fp=4046 fn=2752
树个数为34： accu=0.87258244 recall=0.79951495 tp=10879 tn=35682 fp=4071 fn=2728
树个数为35： accu=0.87391305 recall=0.80157274 tp=10907 tn=35725 fp=4028 fn=2700
树个数为36： accu=0.87589955 recall=0.7867274 tp=10705 tn=36033 fp=3720 fn=2902
树个数为37： accu=0.87558097 recall=0.78893214 tp=10735 tn=35986 fp=3767 fn=2872
树个数为38： accu=0.87625563 recall=0.79091644 tp=10762 tn=35995 fp=3758 fn=2845
树个数为39： accu=0.87606823 recall=0.79613435 tp=10833 tn=35914 fp=3839 fn=2774
树个数为40： accu=0.87618065 recall=0.79841256 tp=10864 tn=35889 fp=3864 fn=2743
