树个数为1： accu=0.6689612 recall=0.5064849 tp=5350 tn=29927 fp=12244 fn=5213
树个数为2： accu=0.6226912 recall=0.6307867 tp=6663 tn=26174 fp=15997 fn=3900
树个数为3： accu=0.7947813 recall=0.62728393 tp=6626 tn=35286 fp=6885 fn=3937
树个数为4： accu=0.8276065 recall=0.554388 tp=5856 tn=37787 fp=4384 fn=4707
树个数为5： accu=0.83697426 recall=0.57199657 tp=6042 tn=38095 fp=4076 fn=4521
树个数为6： accu=0.84082377 recall=0.5988829 tp=6326 tn=38014 fp=4157 fn=4237
树个数为7： accu=0.85423064 recall=0.6205623 tp=6555 tn=38492 fp=3679 fn=4008
树个数为8： accu=0.85443926 recall=0.6355202 tp=6713 tn=38345 fp=3826 fn=3850
树个数为9： accu=0.8560132 recall=0.65445423 tp=6913 tn=38228 fp=3943 fn=3650
树个数为10： accu=0.8596541 recall=0.66448927 tp=7019 tn=38314 fp=3857 fn=3544
树个数为11： accu=0.8634847 recall=0.6906182 tp=7295 tn=38240 fp=3931 fn=3268
树个数为12： accu=0.863314 recall=0.7087002 tp=7486 tn=38040 fp=4131 fn=3077
树个数为13： accu=0.8632002 recall=0.72299534 tp=7637 tn=37883 fp=4288 fn=2926
树个数为14： accu=0.86471725 recall=0.71390706 tp=7541 tn=38059 fp=4112 fn=3022
树个数为15： accu=0.8649448 recall=0.70879483 tp=7487 tn=38125 fp=4046 fn=3076
树个数为16： accu=0.86534303 recall=0.7238474 tp=7646 tn=37987 fp=4184 fn=2917
树个数为17： accu=0.86794096 recall=0.7361545 tp=7776 tn=37994 fp=4177 fn=2787
树个数为18： accu=0.8702735 recall=0.7415507 tp=7833 tn=38060 fp=4111 fn=2730
树个数为19： accu=0.86833924 recall=0.76275676 tp=8057 tn=37734 fp=4437 fn=2506
树个数为20： accu=0.86936325 recall=0.75707656 tp=7997 tn=37848 fp=4323 fn=2566
树个数为21： accu=0.87053895 recall=0.75896996 tp=8017 tn=37890 fp=4281 fn=2546
树个数为22： accu=0.86873746 recall=0.7706144 tp=8140 tn=37672 fp=4499 fn=2423
树个数为23： accu=0.866386 recall=0.7819748 tp=8260 tn=37428 fp=4743 fn=2303
树个数为24： accu=0.8680737 recall=0.78405756 tp=8282 tn=37495 fp=4676 fn=2281
树个数为25： accu=0.86492586 recall=0.79608065 tp=8409 tn=37202 fp=4969 fn=2154
树个数为26： accu=0.86291575 recall=0.80942917 tp=8550 tn=36955 fp=5216 fn=2013
树个数为27： accu=0.85861117 recall=0.8184228 tp=8645 tn=36633 fp=5538 fn=1918
树个数为28： accu=0.8623848 recall=0.8198429 tp=8660 tn=36817 fp=5354 fn=1903
树个数为29： accu=0.86318123 recall=0.8196535 tp=8658 tn=36861 fp=5310 fn=1905
树个数为30： accu=0.8604885 recall=0.8200322 tp=8662 tn=36715 fp=5456 fn=1901
树个数为31： accu=0.8610574 recall=0.8276058 tp=8742 tn=36665 fp=5506 fn=1821
树个数为32： accu=0.85918003 recall=0.83461136 tp=8816 tn=36492 fp=5679 fn=1747
树个数为33： accu=0.8590852 recall=0.83887154 tp=8861 tn=36442 fp=5729 fn=1702
树个数为34： accu=0.86067814 recall=0.83934486 tp=8866 tn=36521 fp=5650 fn=1697
树个数为35： accu=0.8611332 recall=0.8435104 tp=8910 tn=36501 fp=5670 fn=1653
树个数为36： accu=0.86538094 recall=0.84010226 tp=8874 tn=36761 fp=5410 fn=1689
树个数为37： accu=0.8614177 recall=0.8515573 tp=8995 tn=36431 fp=5740 fn=1568
树个数为38： accu=0.8608109 recall=0.8572375 tp=9055 tn=36339 fp=5832 fn=1508
树个数为39： accu=0.8601851 recall=0.8598883 tp=9083 tn=36278 fp=5893 fn=1480
树个数为40： accu=0.85381347 recall=0.86414844 tp=9128 tn=35897 fp=6274 fn=1435
树个数为41： accu=0.8561839 recall=0.8636751 tp=9123 tn=36027 fp=6144 fn=1440
树个数为42： accu=0.85212576 recall=0.8673672 tp=9162 tn=35774 fp=6397 fn=1401
树个数为43： accu=0.85419273 recall=0.86945 tp=9184 tn=35861 fp=6310 fn=1379
树个数为44： accu=0.8546858 recall=0.87153274 tp=9206 tn=35865 fp=6306 fn=1357
树个数为45： accu=0.8475367 recall=0.879201 tp=9287 tn=35407 fp=6764 fn=1276
树个数为46： accu=0.8491865 recall=0.87863296 tp=9281 tn=35500 fp=6671 fn=1282
树个数为47： accu=0.85110176 recall=0.8746568 tp=9239 tn=35643 fp=6528 fn=1324
树个数为48： accu=0.8508363 recall=0.8756982 tp=9250 tn=35618 fp=6553 fn=1313
